33: 3.235, -4.333,  -1.892 | 0.017, -0.006, 1.044
34: 3.235, -4.272,  -1.892 | 0.016, -0.005, 1.044
35: 3.235, -4.272,  -1.892 | 0.017, -0.006, 1.045
36: 3.235, -4.333,  -1.892 | 0.018, -0.007, 1.045
37: 3.174, -4.272,  -1.953 | 0.018, -0.007, 1.043
38: 3.174, -4.211,  -1.953 | 0.019, -0.009, 1.043
39: 3.296, -4.272,  -1.953 | 0.018, -0.008, 1.043
40: 3.235, -4.211,  -1.892 | 0.017, -0.008, 1.043
41: 3.235, -4.211,  -1.953 | 0.017, -0.008, 1.043
42: 3.235, -4.395,  -1.892 | 0.017, -0.006, 1.046
43: 3.174, -4.272,  -1.831 | 0.016, -0.008, 1.045
44: 3.174, -4.272,  -1.831 | 0.018, -0.008, 1.045
45: 3.235, -4.272,  -1.892 | 0.018, -0.008, 1.046
46: 3.052, -4.333,  -1.953 | 0.021, -0.007, 1.045
47: 3.174, -4.333,  -1.892 | 0.019, -0.007, 1.044
48: 3.235, -4.211,  -1.892 | 0.019, -0.007, 1.044
49: 3.113, -4.272,  -1.953 | 0.017, -0.007, 1.045
50: 3.174, -4.272,  -1.953 | 0.016, -0.006, 1.043
51: 3.235, -4.333,  -1.953 | 0.016, -0.006, 1.044
52: 3.235, -4.395,  -1.892 | 0.017, -0.008, 1.043
53: 3.235, -4.272,  -1.953 | 0.018, -0.007, 1.044
54: 3.296, -4.272,  -1.953 | 0.019, -0.008, 1.044
55: 3.174, -4.272,  -1.892 | 0.019, -0.006, 1.044
56: 3.174, -4.211,  -1.892 | 0.018, -0.007, 1.044
57: 3.113, -4.395,  -1.953 | 0.018, -0.008, 1.044
58: 3.174, -4.395,  -1.953 | 0.016, -0.006, 1.044
59: 3.235, -4.333,  -1.953 | 0.018, -0.006, 1.045
60: 3.174, -4.333,  -1.892 | 0.020, -0.007, 1.044
61: 3.174, -4.272,  -1.953 | 0.019, -0.006, 1.045
62: 3.174, -4.333,  -1.953 | 0.018, -0.008, 1.045
63: 3.174, -4.272,  -1.892 | 0.017, -0.008, 1.042
64: 3.235, -4.333,  -1.892 | 0.016, -0.007, 1.042
65: 3.174, -4.272,  -1.892 | 0.017, -0.007, 1.043
66: 3.113, -4.333,  -1.953 | 0.016, -0.006, 1.043
67: 3.235, -4.272,  -1.892 | 0.017, -0.006, 1.045
68: 3.235, -4.272,  -1.831 | 0.019, -0.007, 1.045
69: 3.174, -4.333,  -1.892 | 0.019, -0.007, 1.045
70: 3.174, -4.333,  -1.953 | 0.020, -0.007, 1.044
71: 3.235, -4.333,  -1.892 | 0.020, -0.007, 1.044
72: 3.174, -4.333,  -1.892 | 0.016, -0.006, 1.044
73: 3.174, -4.272,  -1.953 | 0.016, -0.005, 1.043
74: 3.235, -4.333,  -1.953 | 0.017, -0.007, 1.045
75: 3.113, -4.395,  -1.953 | 0.019, -0.006, 1.044
76: 3.113, -4.333,  -1.953 | 0.018, -0.007, 1.043
77: 3.235, -4.272,  -1.953 | 0.020, -0.007, 1.044
