[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 1.281770, y_value: 0.974284
x_value: 1.288053, y_value: 0.974284
x_value: 1.294336, y_value: 0.974284
x_value: 1.300619, y_value: 0.974284
x_value: 1.306903, y_value: 0.991228
x_value: 1.313186, y_value: 0.991228
x_value: 1.319469, y_value: 0.991228
x_value: 1.325752, y_value: 0.991228
x_value: 1.332035, y_value: 0.982756
x_value: 1.338318, y_value: 0.982756
x_value: 1.344602, y_value: 0.982756
x_value: 1.350885, y_value: 0.982756
x_value: 1.357168, y_value: 0.999700
x_value: 1.363451, y_value: 0.999700
x_value: 1.369734, y_value: 0.999700
x_value: 1.376018, y_value: 0.999700
x_value: 1.382301, y_value: 1.016644
x_value: 1.388584, y_value: 1.016644
x_value: 1.394867, y_value: 1.016644
x_value: 1.401150, y_value: 1.008172
x_value: 1.407434, y_value: 1.008172
x_value: 1.413717, y_value: 1.008172
x_value: 1.420000, y_value: 1.008172
x_value: 1.426283, y_value: 1.016644
x_value: 1.432566, y_value: 1.016644
x_value: 1.438849, y_value: 1.016644
x_value: 1.445133, y_value: 1.016644
x_value: 1.451416, y_value: 1.008172
x_value: 1.457699, y_value: 1.008172
x_value: 1.463982, y_value: 1.008172
x_value: 1.470265, y_value: 1.008172
x_value: 1.476549, y_value: 1.025116
x_value: 1.482832, y_value: 1.025116
x_value: 1.489115, y_value: 1.025116
x_value: 1.495398, y_value: 1.025116
x_value: 1.501681, y_value: 1.042060
x_value: 1.507964, y_value: 1.042060
x_value: 1.514248, y_value: 1.042060
x_value: 1.520531, y_value: 1.042060
x_value: 1.526814, y_value: 1.025116
x_value: 1.533097, y_value: 1.025116
x_value: 1.539380, y_value: 1.025116
x_value: 1.545664, y_value: 1.025116
x_value: 1.551947, y_value: 1.042060
x_value: 1.558230, y_value: 1.042060
x_value: 1.564513, y_value: 1.042060
x_value: 1.570796, y_value: 1.042060
x_value: 1.577080, y_value: 1.042060
x_value: 1.583363, y_value: 1.042060
x_value: 1.589646, y_value: 1.042060
x_value: 1.595929, y_value: 1.042060
x_value: 1.602212, y_value: 1.025116
x_value: 1.608496, y_value: 1.025116
x_value: 1.614779, y_value: 1.025116
x_value: 1.621062, y_value: 1.025116
x_value: 1.627345, y_value: 1.042060
x_value: 1.633628, y_value: 1.042060
x_value: 1.639911, y_value: 1.042060
x_value: 1.646195, y_value: 1.042060
x_value: 1.652478, y_value: 1.008172
x_value: 1.658761, y_value: 1.008172
x_value: 1.665044, y_value: 1.008172
x_value: 1.671327, y_value: 1.025116
x_value: 1.677611, y_value: 1.025116
x_value: 1.683894, y_value: 1.025116
x_value: 1.690177, y_value: 1.025116
x_value: 1.696460, y_value: 1.033588
x_value: 1.702743, y_value: 1.033588
x_value: 1.709027, y_value: 1.033588
x_value: 1.715310, y_value: 1.033588
x_value: 1.721593, y_value: 0.991228
x_value: 1.727876, y_value: 0.991228
x_value: 1.734159, y_value: 0.991228
x_value: 1.740442, y_value: 0.991228
x_value: 1.746726, y_value: 0.991228
x_value: 1.753009, y_value: 0.991228
x_value: 1.759292, y_value: 0.991228
