interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
1.533097,1.025113
1.539381,1.025113
1.545664,1.025113
1.551947,1.042057
1.558230,1.042057
1.564513,1.042057
1.570796,1.042057
1.577080,1.042057
1.583363,1.042057
1.589646,1.042057
1.595929,1.042057
1.602212,1.033585
1.608496,1.033585
1.614779,1.033585
1.621062,1.033585
1.627345,1.042057
1.633628,1.042057
1.639911,1.042057
1.646195,1.042057
1.652478,1.008169
1.658761,1.008169
1.665044,1.008169
1.671327,1.025113
1.677610,1.025113
1.683894,1.025113
1.690177,1.025113
1.696460,1.033585
1.702743,1.033585
1.709026,1.033585
1.715310,1.033585
1.721593,0.991225
1.727876,0.991225
1.734159,0.991225
1.740442,0.991225
1.746726,0.991225
1.753009,0.991225
1.759292,0.991225
1.765575,0.991225
1.771858,1.008169
1.778142,1.008169
1.784425,1.008169
1.790708,1.008169
1.796991,0.957337
1.803274,0.957337
1.809557,0.957337
1.815841,0.957337
1.822124,0.974281
1.828407,0.974281
1.834690,0.974281
1.840973,0.974281
1.847257,0.940393
1.853540,0.940393
1.859823,0.940393
1.866106,0.940393
1.872389,0.957337
1.878672,0.957337
1.884956,0.957337
1.891239,0.957337
1.897522,0.957337
1.903805,0.957337
1.910088,0.957337
1.916372,0.957337
1.922655,0.923449
1.928938,0.923449
1.935221,0.923449
1.941504,0.931921
1.947788,0.931921
1.954071,0.931921
1.960354,0.931921
1.966637,0.957337
1.972920,0.957337
1.979203,0.957337
1.985487,0.957337
1.991770,0.881089
1.998053,0.881089
2.004336,0.881089
2.010619,0.881089
2.016903,0.906505
2.023186,0.906505
2.029469,0.906505
2.035752,0.906505
2.042035,0.872617
2.048318,0.872617
2.054602,0.872617
2.060885,0.872617
2.067168,0.881089
2.073451,0.881089
2.079734,0.881089
2.086018,0.881089
2.092301,0.906505
2.098584,0.906505
2.104867,0.906505
2.111150,0.906505
2.117434,0.847201
2.123717,0.847201
2.130000,0.847201
2.136283,0.847201
2.142566,0.855673
2.148849,0.855673
2.155132,0.855673
2.161416,0.855673
2.167699,0.864145
2.173982,0.864145
2.180266,0.864145
2.186548,0.864145
2.192832,0.821785
2.199115,0.821785
2.205398,0.821785
2.211681,0.821785
2.217964,0.821785
2.224248,0.821785
2.230531,0.821785
2.236814,0.762481
2.243097,0.762481
2.249380,0.762481
2.255664,0.762481
2.261947,0.770953
2.268230,0.770953
2.274513,0.770953
2.280796,0.770953
2.287080,0.779425
2.293363,0.779425
2.299646,0.779425
2.305929,0.779425
2.312212,0.720121
2.318495,0.720121
2.324778,0.720121
2.331062,0.720121
2.337345,0.737065
2.343628,0.737065
2.349912,0.737065
2.356194,0.737065
2.362478,0.745537
2.368761,0.745537
2.375044,0.745537
2.381327,0.745537
2.387611,0.677761
2.393894,0.677761
2.400177,0.677761
2.406460,0.677761
2.412743,0.677761
2.419026,0.677761
2.425310,0.677761
2.431593,0.677761
2.437876,0.609985
2.444159,0.609985
2.450442,0.609985
2.456726,0.609985
2.463009,0.618457
2.469292,0.618457
2.475575,0.618457
2.481858,0.618457
2.488141,0.609985
2.494424,0.609985
2.500708,0.609985
2.506991,0.533737
2.513274,0.533737
2.519558,0.533737
2.525840,0.533737
2.532124,0.542209
2.538407,0.542209
2.544690,0.542209
2.550974,0.542209
2.557257,0.559153
2.563540,0.559153
2.569823,0.559153
2.576106,0.559153
2.582389,0.482904
2.588672,0.482904
2.594956,0.482904
2.601239,0.482904
